company,patents_2010_2019,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
OMV,11,1,2,2,2,3,5,2,2,1,2
GEOX,63,24,28,29,19,16,17,22,18,14,19
UNIBEL,0,0,0,0,0,0,0,0,0,0,0
QINETIQ,327,127,116,75,53,39,30,31,29,20,27
PALFINGER,97,21,21,15,21,21,22,15,19,15,19
TELIT COMMUNICATIONS,6,1,1,0,0,0,0,1,0,0,3
OXFORD INSTRUMENTS,89,17,9,10,17,22,22,13,20,7,12
ATLANTIA,1,1,0,0,0,0,0,0,0,0,0
DIAGEO,15,4,2,6,5,3,4,2,3,2,1
BASWARE,0,0,0,0,0,0,0,0,0,0,0
ARLA FOODS,57,7,16,12,19,21,24,24,26,22,17
NYKREDIT REALKREDIT,0,0,0,0,0,0,0,0,0,0,0
PSI,62,13,17,11,9,9,11,9,6,3,11
BIOINVENT INTERNATIONAL,23,5,5,11,7,6,7,4,1,3,4
LANSFORSAKRINGAR,0,0,0,0,0,0,0,0,0,0,0
CAF,39,2,7,4,4,3,3,3,2,1,6
OREXO,23,7,12,9,11,5,6,7,6,6,3
DSV,2,1,1,0,0,0,0,0,1,0,0
GLANBIA,30,3,5,6,4,9,9,7,6,13,7
MANITOU BF,44,22,19,11,8,6,5,8,8,9,9
SAES GETTERS,117,39,30,29,28,38,28,21,22,18,12
STRABAG,37,3,8,6,7,15,4,0,2,4,2
NIBE INDUSTRIER,11,3,2,1,2,0,0,0,2,0,1
RATIONAL,395,62,46,51,36,33,49,54,33,36,53
PRIMA INDUSTRIE,7,1,1,0,0,1,1,0,2,3,3
VITEC,37,7,5,2,1,5,5,8,12,9,8
TARKETT,129,22,20,23,32,29,23,35,41,36,34
MEDIGENE,44,22,19,11,8,6,5,8,8,9,9
ENEA,76,8,12,13,18,14,12,13,14,13,18
SEVERN TRENT,23,11,7,8,3,4,5,1,0,0,2
P&I PERSONAL & INFORMATIK,0,0,0,0,0,0,0,0,0,0,0
INMARSAT,12,2,3,2,0,1,1,1,3,5,2
CREDITO AGRICOLA,0,0,0,0,0,0,0,0,0,0,0
R STAHL,78,9,11,3,9,13,21,13,10,17,8
OTTO,47,12,4,12,8,8,7,7,7,6,6
SAF-HOLLAND,239,39,32,24,43,42,46,74,71,77,77
EL EN,18,7,3,4,2,3,5,3,4,7,7
NEDAP,79,13,9,15,9,8,2,5,9,7,8
MONDI,210,27,36,52,32,42,44,40,34,25,18
SVENSKA HANDELSBANKEN,0,0,0,0,0,0,0,0,0,0,0
ELIA SYSTEM OPERATOR,0,0,0,0,0,0,0,0,0,0,0
SENIOR,92,22,19,19,15,8,12,13,12,16,15
CERES POWER,1,1,0,0,1,0,0,0,0,0,0
SWEDISH MATCH,42,4,4,5,8,2,11,13,17,14,16
TKH,3,0,0,3,0,0,0,1,1,0,0
KENDRION,76,5,7,21,5,16,15,15,20,25,23
ISRA VISION,16,2,5,4,2,1,6,2,0,0,2
SPIRAX-SARCO ENGINEERING,0,0,0,0,0,0,0,0,0,0,0
ATRIA,6,0,1,0,0,3,1,0,0,0,1
BREMBO,271,40,39,34,34,40,46,45,74,58,74
FREENET,1,0,0,0,1,0,0,0,0,0,0
TIKKURILA,10,5,3,0,2,1,1,1,1,1,1
PRAYON,28,2,7,5,9,9,10,13,9,8,9
OXFORD NANOPORE TECHNOLOGIES,91,7,8,10,16,26,30,25,42,26,48
ROSENBAUER INTERNATIONAL,32,3,6,5,2,3,8,8,8,8,10
LECTRA,8,1,2,0,0,1,2,0,1,2,3
CARMAT,7,3,3,3,2,1,1,1,2,1,1
BEIJER ELECTRONICS,2,0,0,0,0,0,0,0,0,0,2
LINEDATA SERVICES,0,0,0,0,0,0,0,0,0,0,0
LUFTHANSA,246,31,29,38,55,58,66,39,44,44,41
PICANOL,115,29,29,18,13,11,11,21,17,17,23
AMINO TECHNOLOGIES,0,0,0,0,0,0,0,0,0,0,0
MASCHINENFABRIK BERTHOLD HERMLE,25,4,10,3,0,7,4,0,1,0,0
INTERPUMP,23,4,3,7,1,2,0,5,4,5,3
VILLEROY & BOCH,41,5,6,5,5,4,4,9,8,11,8
FISKARS,87,7,8,6,11,17,28,27,31,17,19
LABORATORIOS FARMACEUTICOS ROVI,17,5,7,5,5,8,6,7,7,8,7
ZEALAND PHARMA,65,12,19,18,21,23,26,26,20,22,26
JC DECAUX,70,1,3,6,13,10,14,9,6,14,13
AURUBIS,22,0,4,5,6,1,3,3,6,6,6
GW PHARMACEUTICALS,2,0,0,0,0,2,0,0,0,0,0
FAGERHULT,1,0,0,0,1,0,0,0,0,0,0
ETEX,107,7,7,5,12,9,9,17,24,45,46
LPKF LASER & ELECTRONICS,56,8,6,7,8,12,13,12,10,8,8
AB SCIENCE,37,7,12,12,7,12,11,10,13,7,3
FRANCOTYP-POSTALIA,80,16,20,16,8,11,5,8,2,11,6
KEDRION,13,4,4,3,3,3,2,1,3,2,1
GFI INFORMATIQUE,3,0,0,0,0,1,0,0,1,1,0
NORBROOK LABORATORIES,24,6,8,5,12,7,12,7,4,3,4
MENSCH UND MASCHINE SOFTWARE,0,0,0,0,0,0,0,0,0,0,0
FABASOFT,0,0,0,0,0,0,0,0,0,0,0
